Image,Duration
C48,315047.0
C4,324635.0
C58,214456.0
C20,507080.0
C21,185390.0
C17,530320.0
C29,410039.0
C13,463076.0
C30,443457.0
C16,328925.0
C59,370649.0
C5,160120.0
C24,267034.0
C7,531385.0
C18,189040.0
C11,432831.0
C54,306391.0
C33,165142.0
C3,326333.0
C8,204042.0
C40,381169.0
C41,508087.0
C47,225924.0
C46,132164.0
C19,176183.0
C10,517422.0
C34,119674.0
C49,378836.0
C2,537466.0
C53,413028.0
C35,172565.0
C14,665086.0
C45,387618.0
C56,208705.0
C36,189256.0
C39,359587.0
C60,330005.0
C44,189828.0
C43,438977.0
C51,158485.0
C55,124384.0
C28,360741.0
C31,225757.0
C57,354174.0
C15,201629.0
C37,308519.0
C52,364116.0
C23,503480.0
C22,448296.0
C12,622849.0
C42,446452.0
C38,415184.0
C50,500037.0
C27,366590.0
C25,399454.0
C32,342788.0
C26,340510.0
C1,136673.0
C6,275576.0
C9,319050.0
